"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","neighbourhood_ward","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable"
8.03e+17,478087035,"2022/09/04","within a few hours",82,98,"t",6,"['email', 'phone']","Ward 54",-33.93594,18.37889,"Entire home/apt",4,1,2,2,10285,1,1125,1.2,801.9,18,40,53,119,54,1.68,4.96,"t"
46031709,12545676,"2014/02/24","within a few hours",100,83,"t",22,"['email', 'phone']","Ward 55",-33.89152527,18.51581764,"Entire home/apt",4,2,2,2,2208,4,30,4.3,30,28,58,88,178,4,0.07,5,"f"
17750488,121109694,"2017/03/16","within an hour",100,100,"t",1,"['email', 'phone']","Ward 70",-33.88477,18.60175,"Entire home/apt",4,1.5,3,3,1330,4,1125,4,1125,11,41,50,248,50,1.14,4.96,"f"
6220640,15671356,"2014/05/18","within an hour",100,100,"t",3,"['email', 'phone']","Ward 64",-34.13698,18.41475,"Entire home/apt",3,0,1,2,675,2,1125,2.1,1125,18,45,57,297,6,0.05,4.67,"f"
1.34e+18,180635373,"2018/03/26","within an hour",100,78,"f",1,"['phone']","Ward 100",-34.1355882,18.8484311,"Entire home/apt",8,2,5,6,1968,1,365,1.2,365,2,20,35,295,1,0.13,5,"f"
8.36e+17,9916796,"2013/11/10","within a few hours",100,86,"f",1,"['email', 'phone']","Ward 107",-33.83130605,18.48259344,"Entire home/apt",6,2,3,5,2888,4,90,4.1,1125,8,34,44,46,16,0.53,4.69,"t"
6619362,34644278,"2015/05/31","within a day",100,100,"t",2,"['email', 'phone', 'work_email']","Ward 71",-34.04467,18.43851,"Entire home/apt",10,5.5,5,6,13500,10,30,10,30,0,0,0,14,13,0.11,5,"f"
1.47e+18,707338604,"2025/07/14","within a day",64,37,"f",1,"['phone']","Ward 100",-34.1463461,18.8707643,"Entire home/apt",3,1,2,2,722,1,365,1,365,28,55,79,342,3,1.36,5,"f"
1.3e+18,57218252,"2016/02/03","within an hour",100,90,"f",176,"['phone']","Ward 54",-33.9226319,18.3867506,"Entire home/apt",6,3,3,4,6800,4,365,4.4,365,10,10,19,165,10,1.06,5,"f"
8.73e+17,31722828,"2015/04/22","within an hour",100,85,"t",16,"['email', 'phone']","Ward 54",-33.91100601,18.39240939,"Entire home/apt",2,1,1,1,1305,2,365,2.1,365,17,40,70,84,19,0.75,4.79,"f"
9.69e+17,345258708,"2020/05/03","within a day",100,89,"t",2,"['email', 'phone']","Ward 61",-34.20521968,18.45250474,"Entire home/apt",5,2.5,3,3,2025,10,365,10,365,0,0,16,215,7,0.33,5,"f"
9.69e+17,100862886,"2016/10/23","within an hour",100,100,"t",1,"['email', 'phone']","Ward 54",-33.9158871,18.3933432,"Entire home/apt",4,2,2,2,2892,2,365,2,365,4,10,31,205,56,2.43,5,"f"
42265816,20600730,"2014/08/27","within an hour",100,90,"f",109,"['email', 'phone', 'work_email']","Ward 57",-33.94103,18.46813,"Entire home/apt",4,2,2,2,1605,2,365,2.1,1031.3,17,35,53,310,61,0.9,4.64,"t"
5.92e+17,317514533,"2019/12/14","within an hour",100,73,"t",3,"['email', 'phone']","Ward 74",-34.01701,18.35205,"Entire home/apt",4,1,3,4,1277,1,365,2,365,12,14,17,253,80,1.89,4.81,"f"
1.47e+18,709075750,"2025/07/23","within an hour",100,100,"f",2,"['email', 'phone']","Ward 107",-33.8227365,18.4825883,"Entire home/apt",2,1,1,1,856,2,90,2.3,1125,6,36,66,337,2,0.95,4,"t"
518545,2516345,"2012/06/01","within an hour",100,100,"f",85,"['email', 'phone']","Ward 115",-33.92218,18.42151,"Entire home/apt",4,1,2,3,2560,1,1125,3.2,1125,0,1,1,241,6,0.05,3.83,"t"
1.32e+18,104381588,"2016/11/19","within an hour",100,100,"t",1,"['email', 'phone']","Ward 58",-33.98851,18.47461,"Entire home/apt",4,1,2,2,946,1,90,1.1,1125,0,0,0,8,27,3.06,4.89,"f"
